date,dow,TEMP,RH,pm25,tot,cvd,resp
02/01/2000,3,50.7,80.7404389,20.3009288,40,11,3
02/02/2000,4,52.7,62.6059067,NA,61,22,4
02/03/2000,5,54.9,66.1102419,19.4733158,51,16,4
02/04/2000,6,56.1,60.4493525,10.4477487,43,17,7
02/05/2000,7,48.3,45.6391894,10.5491015,51,17,9
02/06/2000,1,49,76.0906966,16.6696005,69,19,11
02/07/2000,2,59.5,88.8294641,14.7991328,64,28,7
02/08/2000,3,60.5,73.8151245,13.1116781,47,16,5
02/09/2000,4,57.7,73.5354744,11.8684977,59,18,7
02/10/2000,5,64.7,76.4004125,8.51845562,54,22,3
02/11/2000,6,68.8,82.3672549,15.8993859,49,17,3
02/12/2000,7,67.9,74.2694045,21.3933414,51,17,7
02/13/2000,1,68.9,84.4168884,12.6158593,42,11,5
02/14/2000,2,66.2,71.4850585,21.0470327,48,11,3
02/15/2000,3,67.4,81.9802256,16.8231318,60,19,6
02/16/2000,4,69.9,91.4795175,13.3674826,38,13,3
02/17/2000,5,71,87.2167653,11.0570622,53,11,6
02/18/2000,6,72.7,79.8280096,13.3909217,51,16,4
02/19/2000,7,62.9,50.0546533,10.3655208,53,14,2
02/20/2000,1,56,55.7257375,24.0872442,54,15,4
02/21/2000,2,60.1,72.9629756,19.628361,52,12,9
02/22/2000,3,65.3,80.9604153,13.4533589,47,11,7
02/23/2000,4,68,81.4469462,7.74893825,49,17,6
02/24/2000,5,69,82.6701235,10.0539208,60,16,2
02/25/2000,6,70.8,82.7920717,8.59008614,58,16,4
02/26/2000,7,67.5,82.2769744,NA,45,14,2
02/27/2000,1,60.7,42.3781294,7.9858921,42,11,3
02/28/2000,2,59.3,71.2760812,NA,52,14,4
02/29/2000,3,67.2,82.8387042,9.74799354,50,20,7
03/01/2000,4,70.8,83.3691236,10.2160121,52,16,4
03/02/2000,5,70.9,84.5399135,14.0319989,50,14,3
03/03/2000,6,70.3,69.6495775,8.21014545,62,19,4
03/04/2000,7,56.4,58.4323192,13.2586591,47,19,1
03/05/2000,1,58,78.6441143,22.0507783,45,9,5
03/06/2000,2,66.2,88.5100541,15.4600007,55,12,3
03/07/2000,3,71.7,82.5662758,11.8894113,45,13,4
03/08/2000,4,73.4,83.2515034,16.9912134,47,13,4
